id,fips_id,state,county_name
213,48425,Texas,Somervell County
214,48427,Texas,Starr County
215,48429,Texas,Stephens County
216,48431,Texas,Sterling County
217,48433,Texas,Stonewall County
218,48435,Texas,Sutton County
219,48437,Texas,Swisher County
220,48439,Texas,Tarrant County
221,48441,Texas,Taylor County
222,48443,Texas,Terrell County
223,48445,Texas,Terry County
224,48447,Texas,Throckmorton County
225,48449,Texas,Titus County
226,48451,Texas,Tom Green County
227,48453,Texas,Travis County
228,48455,Texas,Trinity County
229,48457,Texas,Tyler County
230,48459,Texas,Upshur County
231,48461,Texas,Upton County
232,48463,Texas,Uvalde County
233,48465,Texas,Val Verde County
234,48467,Texas,Van Zandt County
235,48469,Texas,Victoria County
236,48471,Texas,Walker County
237,48473,Texas,Waller County
238,48475,Texas,Ward County
239,48477,Texas,Washington County
240,48479,Texas,Webb County
241,48481,Texas,Wharton County
242,48483,Texas,Wheeler County
243,48485,Texas,Wichita County
244,48487,Texas,Wilbarger County
245,48489,Texas,Willacy County
246,48491,Texas,Williamson County
247,48493,Texas,Wilson County
248,48495,Texas,Winkler County
249,48497,Texas,Wise County
250,48499,Texas,Wood County
251,48501,Texas,Yoakum County
252,48503,Texas,Young County
253,48505,Texas,Zapata County
254,48507,Texas,Zavala County
